"","data_date","error_Lt_pct","error_s_pct","error_GAM_pct","error_svm_pct","error_dev_pct"
"1",2006-03-31,-50.9412697251562,-65.4262111846033,-39.4537773137058,-48.3123593741809,-50.9412697251563
"2",2006-06-30,-1.53727564155379,-9.05216768540326,2.42454683408154,-0.0899928458569302,-1.53727564155375
"3",2006-09-30,-13.7335939643304,-17.8171685459159,-12.97677230915,-9.27828560690398,-13.7335939643304
"4",2006-12-31,-0.330382080385459,-2.71885181342239,-1.92519261664398,1.42633053267401,-0.330382080385809
"5",2007-03-31,-22.2898748169983,-25.4342728742203,-27.0968876192931,-22.4207339083635,-22.2898748169984
"6",2007-06-30,20.3232895210087,18.4601702366518,17.2532676356552,20.3112640826923,20.3232895210087
"7",2007-09-30,6.82643622997708,6.93113853461199,3.29335004844343,9.54948602661472,6.82643622997713
"8",2007-12-31,-1.71028097153355,-1.00992484330307,-3.62373934249451,-0.185198266533467,-1.71028097153307
"9",2008-03-31,1.74917257429322,5.05223785366386,-1.14280173598577,1.34221032359268,1.74917257429372
"10",2008-06-30,-5.98962322237439,-1.28864951178129,-7.40822958653155,-6.74979612350706,-5.9896232223741
"11",2008-09-30,-3.30852103541074,-0.966640330414078,-1.91951768444881,-1.29941808032957,-3.30852103541086
"12",2008-12-31,9.12441155665235,12.8080038298015,10.099698938983,8.33105769595411,9.12441155665238
"13",2009-03-31,-18.656205552167,-14.5223624499556,-12.5427883143571,-23.7169017698276,-18.6562055521673
"14",2009-06-30,-4.22368563675139,-4.25086441739596,-0.118755921771013,-9.23023967936574,-4.22368563675118
"15",2009-09-30,2.08852052963846,0.399763349067037,0.680379433688464,1.06911622344138,2.08852052963868
"16",2009-12-31,4.63385120562619,-0.328761105916956,2.12250345441028,4.1970073311671,4.63385120562659
"17",2010-03-31,5.28132951355336,0.0335725369684563,-1.21924026512532,4.14954582681369,5.28132951355348
"18",2010-06-30,18.4430249733117,17.9759559030737,12.499244976413,17.7352043896214,18.4430249733116
"19",2010-09-30,20.1067100904677,21.3749499535635,17.1162797763632,22.5731694624785,20.1067100904675
"20",2010-12-31,-10.5411899234686,-8.22795815935033,-13.5404384798723,-8.93331610536685,-10.5411899234691
"21",2011-03-31,-0.292577737363253,2.89131271313044,-1.71587447735974,-0.218492386641327,-0.292577737363421
"22",2011-06-30,-1.70960926024681,-1.5295296516692,-1.70263224195156,-0.946898788302313,-1.70960926024683
"23",2011-09-30,10.9284002307942,10.4209380247693,11.8039185731749,14.4710582076983,10.9284002307941
"24",2011-12-31,12.5383403611443,13.1118725052832,15.4173029188736,14.8805808547046,12.5383403611445
"25",2012-03-31,3.79292738760827,6.13434689226101,7.89620153231995,4.77089257729842,3.79292738760815
"26",2012-06-30,25.5760717973446,28.3774640657059,27.002833440362,25.782594225138,25.5760717973444
"27",2012-09-30,-11.9408301504172,-9.12728142852398,-9.44566968053405,-7.3400872342454,-11.940830150417
"28",2012-12-31,10.7231192943823,11.8101986713462,12.3503204987039,12.7005754014099,10.7231192943824
"29",2013-03-31,-28.1015703239571,-26.0517865561295,-29.9077505323984,-28.2940837145113,-28.1015703239573
"30",2013-06-30,-9.15199632416722,-6.68809172948288,-9.29004806922704,-9.40151238679696,-9.15199632416741
"31",2013-09-30,-20.582946175471,-19.5050664184679,-18.3241925530534,-15.7033936095412,-20.5829461754715
"32",2013-12-31,-16.1036843200424,-15.3320099124867,-12.3166732164335,-13.5090911798169,-16.1036843200424
"33",2014-03-31,-11.9730022110458,-11.3227761555255,-7.12675145836664,-11.7499410405475,-11.9730022110461
"34",2014-06-30,10.9730768736931,9.9585037914756,14.4659210969933,11.4643712134922,10.973076873693
"35",2014-09-30,-5.9588551497646,-6.99659301270395,-3.5744780036081,-1.59405515833813,-5.95885514976487
"36",2014-12-31,-17.5681277493356,-18.7059226731248,-16.1494958526295,-15.2454032458731,-17.5681277493357
"37",2015-03-31,-1.06188235954718,0.112976727052054,-5.54468867365453,-2.88962169919588,-1.06188235954751
"38",2015-06-30,28.6474078160527,28.7547623791612,26.5313722909365,27.5248070036321,28.6474078160524
"39",2015-09-30,-0.591876812152063,-1.41180330835683,-0.614143063046877,3.0962478737199,-0.591876812152272
"40",2015-12-31,-13.6988170520016,-15.0587641219067,-14.3787336458115,-11.9430384562962,-13.6988170520017
